registro_id,calle,altura,ciudad,barrio,latitud,longitud,distancia_corralon_km,direccion_osm,clave_direccion_fuente,frecuencia_direccion_fuente,estado_calidad,motivo_revision
DG-0163,Buenos Aires,1515,Granadero Baigorria,Correo,-32.8653332,-60.7082512,2.215628,"Avenida Buenos Aires, Correo, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",buenos aires|1515|granadero baigorria,1,APTO_ENTRENAMIENTO,
DG-0164,Pasco,965,Granadero Baigorria,San Miguel,-32.8614061,-60.7169741,1.426155,"Pasco, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",pasco|965|granadero baigorria,2,APTO_ENTRENAMIENTO,
DG-0165,Namur,788,San Lorenzo,San Eduardo,-32.7619131,-60.7668776,10.580069,"Namur, Lola Mora, San Eduardo, Municipio de San Lorenzo, Gran Rosario, Departamento San Lorenzo, Santa Fe, S2200JUO, Argentina",namur|788|san lorenzo,1,APTO_ENTRENAMIENTO,
DG-0166,Francia,1049,Granadero Baigorria,San Miguel,-32.8602312,-60.7193781,1.231779,"Pasaje Francia, San Miguel, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",francia|1049|granadero baigorria,1,APTO_ENTRENAMIENTO,
DG-0167,Calle 2,311,Granadero Baigorria,Los Robles,-32.8475189,-60.7105448,1.152362,"Intendente Monti, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",calle 2|311|granadero baigorria,1,APTO_ENTRENAMIENTO,
DG-0168,Calle 1,302,Granadero Baigorria,Los Robles,-32.8496550,-60.7110548,1.083579,"302, Intendente Sorigotti, Bon Vivant, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",calle 1|302|granadero baigorria,2,APTO_ENTRENAMIENTO,
DG-0169,Namur,2021,San Lorenzo,San Eduardo,-32.7619131,-60.7668776,10.580069,"Namur, Lola Mora, San Eduardo, Municipio de San Lorenzo, Gran Rosario, Departamento San Lorenzo, Santa Fe, S2200JUO, Argentina",namur|2021|san lorenzo,1,APTO_ENTRENAMIENTO,
DG-0170,Malvinas,2031,Granadero Baigorria,Los Robles,-32.8437458,-60.7112072,1.246097,"Malvinas Argentinas, Los Robles, Granadero Baigorria, Municipio de Granadero Baigorria, Gran Rosario, Departamento Rosario, Santa Fe, 2152, Argentina",malvinas|2031|granadero baigorria,1,APTO_ENTRENAMIENTO,
DG-0171,Monteagudo,3369,Rosario,Islas Malvinas,-32.9211916,-60.6677467,9.478068,"Monteagudo, Puerto Norte, Islas Malvinas, Distrito Norte, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina",monteagudo|3369|rosario,1,APTO_ENTRENAMIENTO,
DG-0172,Zeballos,3252,Rosario,Echesortu,-32.9496810,-60.6697105,12.186936,"3252, Zeballos, Echesortu, Distrito Centro, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, 2002, Argentina",zeballos|3252|rosario,1,APTO_ENTRENAMIENTO,
